feature,coef_standardised,std_error,raw_mean,raw_sd
intercept,2.053119042443989,0.027906801383012558,,
rate_pos,-0.6580434364898303,0.07254005834303351,7.598173515981735,7.587304627658209
rate_neg,0.01742053676008192,0.028946356874752718,-1.630365296803653,3.7734172693169823
rate_pos2,-0.009318865307203621,0.05856612863666368,4.6118721461187215,6.6288178607823065
rate_pos_x_risk,-0.023077673077973843,0.06800649933876107,7.8144607077625565,12.297128930221911
risk,1.09141490902216,0.06922062281293133,1.0329157762557077,0.879880250680029
log_premium,-0.010101896167345742,0.01966949806663039,14.23940648665093,0.721271368201452
prior_renewal_rate,-0.021319701631985693,0.01928204026133897,0.8379908675799087,0.26218116084143184
prior_rate_mean,-0.09745128495583902,0.04244972081579059,4.009246575342465,7.473248262262546
prior_rate_last,0.07565027858099906,0.04127043067160795,4.012100456621004,8.516367056950655
no_history,-0.009705666963709423,0.021255493107061946,0.3333333333333333,0.47141528381992204
industry_Healthcare,-0.0009482628391875531,0.02594774883020551,0.12863013698630138,0.3347977644626131
industry_Hospitality,0.05732851173214336,0.026535206132418627,0.11945205479452055,0.3243270949332723
industry_Logistics,-0.007691581386078198,0.025839263902859507,0.12479452054794521,0.33049332167266937
industry_Manufacturing,0.02603663847941457,0.02607634697562531,0.1258904109589041,0.33173338747632036
industry_Professional services,0.03709548237523916,0.026461855716911453,0.1273972602739726,0.3334250661066651
industry_Retail,-0.024195884106920154,0.025890987569842396,0.12835616438356165,0.33449359993373623
industry_Technology,0.02456925684037927,0.026101938267438157,0.1232876712328767,0.3287746296434444
rating_region_R02,-0.0052976631552350524,0.02616233253591575,0.02054794520547945,0.14186841148843427
rating_region_R03,0.008166788715199349,0.02666975209925724,0.018767123287671234,0.13570467668222239
rating_region_R04,-0.010063679676974312,0.026792697628627883,0.02287671232876712,0.14951384253692082
rating_region_R05,-0.011456645824917296,0.02680732606725699,0.02095890410958904,0.14325001033240997
rating_region_R06,0.018835261348622876,0.02827397234134352,0.024383561643835615,0.1542403639481911
rating_region_R07,-0.004033465027634745,0.027763556053713983,0.02547945205479452,0.1575797684695172
rating_region_R08,-0.0014218001289380766,0.027361138713878456,0.021917808219178082,0.14641856721152147
rating_region_R09,-0.0150512594686959,0.02703006818558483,0.022602739726027398,0.1486366868895822
rating_region_R10,-0.00260402230048708,0.025313891661152072,0.01602739726027397,0.12558359743723718
rating_region_R11,0.033931111125318866,0.0281886741545153,0.02095890410958904,0.14325001033240997
rating_region_R12,0.03747512581147582,0.028120759654406188,0.021369863013698632,0.1446172429288897
rating_region_R13,0.03949251349320907,0.027483651302500224,0.02,0.14000319645650003
rating_region_R14,-0.023612080469654212,0.026414391062789665,0.02232876712328767,0.14775381599146234
rating_region_R15,-0.01284803301951214,0.026224894748231708,0.020821917808219178,0.14279109413795715
rating_region_R16,-0.01867207134644744,0.027171222277196053,0.023972602739726026,0.1529672693893566
rating_region_R17,0.014461577122968519,0.026427664965041738,0.018904109589041096,0.13618954127118946
rating_region_R18,0.009419512577933378,0.026073225766863585,0.018767123287671234,0.13570467668222239
rating_region_R19,0.0376242250158277,0.028844332189839072,0.024657534246575342,0.1550826826377576
rating_region_R20,-0.018422790664560547,0.026323912407597096,0.02219178082191781,0.14731020523708308
rating_region_R21,-0.011694204837629039,0.02646452197957436,0.020821917808219178,0.14279109413795713
rating_region_R22,0.001987308316259704,0.027254918178836858,0.01958904109589041,0.13858639023980554
rating_region_R23,-0.045429189459629586,0.0257306789516974,0.02095890410958904,0.14325001033240997
rating_region_R24,-0.002742669468213265,0.02602491887252486,0.01780821917808219,0.13225689102654672
rating_region_R25,-0.023281664901653044,0.025990430741882682,0.018904109589041096,0.13618954127118946
rating_region_R26,-0.003216110424493277,0.026795777792721666,0.020684931506849316,0.14233056642122588
rating_region_R27,-0.038467969163171696,0.02597748466325073,0.021232876712328767,0.14416306966021097
rating_region_R28,-0.018105321859056694,0.026750924221054954,0.020821917808219178,0.14279109413795713
rating_region_R29,-0.0073045486757588925,0.026496684405133225,0.01986301369863014,0.1395326606836745
rating_region_R30,-0.004679930136065125,0.02733355577512337,0.023424657534246576,0.15125140516687496
rating_region_R31,0.0021297584968696464,0.026612542196094626,0.02054794520547945,0.14186841148843427
rating_region_R32,-0.012158301767411775,0.027355783582601708,0.024246575342465753,0.15381729187881626
rating_region_R33,-0.029809728201899838,0.026031301460545615,0.020821917808219178,0.14279109413795713
rating_region_R34,-0.011784131112026216,0.02578025429394722,0.016849315068493152,0.12870964259304835
rating_region_R35,0.005187369253312266,0.02724354728214175,0.021917808219178082,0.14641856721152147
rating_region_R36,0.00018610963190974415,0.026865886212706924,0.020136986301369862,0.14047202250413401
rating_region_R37,-0.020046835539588626,0.026535704411864463,0.02219178082191781,0.14731020523708308
rating_region_R38,-0.023161078656487477,0.027122099279857412,0.021917808219178082,0.14641856721152147
rating_region_R39,0.0008924212594189125,0.027212816568385072,0.021369863013698632,0.1446172429288897
rating_region_R40,-0.018736972758024755,0.02649257893462527,0.021643835616438355,0.1455209502193028
rating_region_R41,0.006952369465325128,0.02621736200776483,0.01821917808219178,0.133746238969293
rating_region_R42,-0.007502154265264603,0.025933625779702114,0.019041095890410958,0.13667254844218057
rating_region_R43,-0.023826397027009713,0.025977685714622466,0.021232876712328767,0.14416306966021097
rating_region_R44,-0.014013640163831366,0.026764286804848682,0.02,0.14000319645650006
rating_region_R45,0.010122194487480628,0.02610841704761256,0.016986301369863014,0.12922278988461483
rating_region_R46,-0.01204523031031319,0.02647790029086364,0.01863013698630137,0.13521793469428778
rating_region_R47,0.014703817079125497,0.027876032901979937,0.021643835616438355,0.1455209502193028
rating_region_R48,-0.0011472892948288362,0.02588324817551112,0.01767123287671233,0.13175641573797742
