rating_region,accounts,renewal_rate,mean_rate_change,unemployment_rate_2025
R01,170,0.8431372549019608,6.784313725490196,3.721
R02,150,0.8244444444444444,6.277777777777778,2.78
R03,137,0.8540145985401459,6.119221411192214,3.009
R04,167,0.8243512974051896,6.516966067864272,2.271
R05,153,0.840958605664488,5.5119825708061,3.266
R06,178,0.8558052434456929,6.048689138576779,3.972
R07,186,0.8315412186379928,6.953405017921147,3.359
R08,160,0.8479166666666667,6.1875,3.434
R09,165,0.8282828282828283,5.595959595959596,3.67
R10,117,0.8404558404558404,6.0398860398860394,2.355
R11,153,0.8736383442265795,5.250544662309368,3.905
R12,156,0.8696581196581197,6.25,2.083
R13,146,0.867579908675799,5.502283105022831,2.464
R14,163,0.8139059304703476,6.605316973415133,4.013
R15,152,0.8223684210526315,6.798245614035087,2.489
R16,175,0.8247619047619048,5.742857142857143,4.115
R17,138,0.8478260869565217,6.690821256038648,4.335
R18,137,0.8394160583941606,6.569343065693431,3.535
R19,180,0.8685185185185185,5.518518518518518,4.492
R20,162,0.8127572016460906,6.419753086419753,3.155
R21,152,0.8333333333333334,6.62280701754386,3.693
R22,143,0.8601398601398601,5.909090909090909,4.083
R23,153,0.8017429193899782,6.067538126361656,3.089
R24,130,0.8461538461538461,5.487179487179487,3.647
R25,138,0.8309178743961353,5.628019323671498,2.57
R26,151,0.8410596026490066,5.298013245033113,3.633
R27,155,0.8064516129032258,6.064516129032258,3.276
R28,152,0.8399122807017544,5.449561403508772,4.766
R29,145,0.8390804597701149,5.747126436781609,3.877
R30,171,0.8362573099415205,6.052631578947368,3.218
R31,150,0.84,6.011111111111111,2.778
R32,177,0.8229755178907722,7.448210922787194,2.694
R33,152,0.8157894736842105,5.350877192982456,4.307
R34,123,0.8482384823848238,5.365853658536586,4.089
R35,160,0.84375,6.25,3.086
R36,147,0.8526077097505669,5.272108843537415,3.502
R37,162,0.8209876543209876,6.008230452674897,4.946
R38,160,0.8395833333333333,5.822916666666667,4.048
R39,156,0.8482905982905983,5.918803418803419,3.907
R40,158,0.8227848101265823,5.232067510548523,3.722
R41,133,0.8471177944862155,5.476190476190476,3.573
R42,139,0.8345323741007195,6.3549160671462825,3.317
R43,155,0.8021505376344086,6.516129032258065,3.524
R44,146,0.8470319634703196,4.920091324200913,3.411
R45,124,0.8548387096774194,5.658602150537634,3.438
R46,136,0.8504901960784313,5.588235294117647,4.229
R47,158,0.8628691983122363,5.337552742616034,3.295
R48,129,0.8423772609819121,5.284237726098191,3.414
